period;value;ref_area;price_type;unit_measure
2022-01-01;61762.4916890882;Псковская область;Вторичный рынок;руб. за квадратный метр
2022-02-01;63718.3733808845;Псковская область;Вторичный рынок;руб. за квадратный метр
2022-03-01;66869.9014784053;Псковская область;Вторичный рынок;руб. за квадратный метр
2022-04-01;69850.7242201835;Псковская область;Вторичный рынок;руб. за квадратный метр
2022-05-01;70096.5860606061;Псковская область;Вторичный рынок;руб. за квадратный метр
2022-06-01;68562.9531487514;Псковская область;Вторичный рынок;руб. за квадратный метр
2022-07-01;68105.154734098;Псковская область;Вторичный рынок;руб. за квадратный метр
2022-08-01;69544.930604534;Псковская область;Вторичный рынок;руб. за квадратный метр
2022-09-01;70304.7152133581;Псковская область;Вторичный рынок;руб. за квадратный метр
2022-10-01;69402.3152297165;Псковская область;Вторичный рынок;руб. за квадратный метр
2022-11-01;69063.7170815451;Псковская область;Вторичный рынок;руб. за квадратный метр
2022-12-01;68867.5207542579;Псковская область;Вторичный рынок;руб. за квадратный метр
2023-01-01;67112.9444617225;Псковская область;Вторичный рынок;руб. за квадратный метр
2023-02-01;69148.3185497076;Псковская область;Вторичный рынок;руб. за квадратный метр
2023-03-01;71051.4091946993;Псковская область;Вторичный рынок;руб. за квадратный метр
2023-04-01;70254.332919708;Псковская область;Вторичный рынок;руб. за квадратный метр
2023-05-01;70146.2012564367;Псковская область;Вторичный рынок;руб. за квадратный метр
2023-06-01;70790.4929189189;Псковская область;Вторичный рынок;руб. за квадратный метр
2023-07-01;70794.707076632;Псковская область;Вторичный рынок;руб. за квадратный метр
2023-08-01;72667.0032903865;Псковская область;Вторичный рынок;руб. за квадратный метр
2023-09-01;72915.6189441624;Псковская область;Вторичный рынок;руб. за квадратный метр
2023-10-01;72310.6337706726;Псковская область;Вторичный рынок;руб. за квадратный метр
2023-11-01;73817.0730546624;Псковская область;Вторичный рынок;руб. за квадратный метр
2023-12-01;75602.0791946309;Псковская область;Вторичный рынок;руб. за квадратный метр
2024-01-01;76391.4016928251;Псковская область;Вторичный рынок;руб. за квадратный метр
2024-02-01;80364.0415107103;Псковская область;Вторичный рынок;руб. за квадратный метр
2024-03-01;79735.2006813187;Псковская область;Вторичный рынок;руб. за квадратный метр
2024-04-01;81525.2002396514;Псковская область;Вторичный рынок;руб. за квадратный метр
2024-05-01;82005.3219366197;Псковская область;Вторичный рынок;руб. за квадратный метр
2024-06-01;80680.1459286593;Псковская область;Вторичный рынок;руб. за квадратный метр
2024-07-01;78088.1177586207;Псковская область;Вторичный рынок;руб. за квадратный метр
2024-08-01;78470.1385343511;Псковская область;Вторичный рынок;руб. за квадратный метр
2024-09-01;78410.3962255639;Псковская область;Вторичный рынок;руб. за квадратный метр
2024-10-01;78248.9196316507;Псковская область;Вторичный рынок;руб. за квадратный метр
2024-11-01;78911.1208575582;Псковская область;Вторичный рынок;руб. за квадратный метр
2024-12-01;78954.4234646962;Псковская область;Вторичный рынок;руб. за квадратный метр
2025-01-01;82355.9589724771;Псковская область;Вторичный рынок;руб. за квадратный метр
2025-02-01;79974.8109344262;Псковская область;Вторичный рынок;руб. за квадратный метр
2025-03-01;80135.0853611557;Псковская область;Вторичный рынок;руб. за квадратный метр
2025-04-01;80363.3196587537;Псковская область;Вторичный рынок;руб. за квадратный метр
2025-05-01;80630.4854454023;Псковская область;Вторичный рынок;руб. за квадратный метр
2025-06-01;78701.8933709016;Псковская область;Вторичный рынок;руб. за квадратный метр
2025-07-01;78893.472799511;Псковская область;Вторичный рынок;руб. за квадратный метр
2025-08-01;75338.300318408;Псковская область;Вторичный рынок;руб. за квадратный метр
2025-09-01;73701.2397111554;Псковская область;Вторичный рынок;руб. за квадратный метр
2025-10-01;73514.1155670103;Псковская область;Вторичный рынок;руб. за квадратный метр
2025-11-01;79284.2087228916;Псковская область;Вторичный рынок;руб. за квадратный метр
2025-12-01;81153.0401181684;Псковская область;Вторичный рынок;руб. за квадратный метр
2026-01-01;80854.3391322902;Псковская область;Вторичный рынок;руб. за квадратный метр
2022-01-01;152658.3556875455;Московская область;Вторичный рынок;руб. за квадратный метр
2022-02-01;154350.1087427381;Московская область;Вторичный рынок;руб. за квадратный метр
2022-03-01;158911.6951430894;Московская область;Вторичный рынок;руб. за квадратный метр
2022-04-01;156059.0142779413;Московская область;Вторичный рынок;руб. за квадратный метр
2022-05-01;155870.6035813385;Московская область;Вторичный рынок;руб. за квадратный метр
2022-06-01;155086.6215412432;Московская область;Вторичный рынок;руб. за квадратный метр
2022-07-01;154412.984065146;Московская область;Вторичный рынок;руб. за квадратный метр
2022-08-01;154648.8419220078;Московская область;Вторичный рынок;руб. за квадратный метр
2022-09-01;153964.335823202;Московская область;Вторичный рынок;руб. за квадратный метр
2022-10-01;152116.3656611097;Московская область;Вторичный рынок;руб. за квадратный метр
2022-11-01;151394.0672265453;Московская область;Вторичный рынок;руб. за квадратный метр
2022-12-01;150989.5106462939;Московская область;Вторичный рынок;руб. за квадратный метр
2023-01-01;151172.6287399508;Московская область;Вторичный рынок;руб. за квадратный метр
2023-02-01;151081.8371013266;Московская область;Вторичный рынок;руб. за квадратный метр
2023-03-01;151762.8965090717;Московская область;Вторичный рынок;руб. за квадратный метр
2023-04-01;151944.4411572967;Московская область;Вторичный рынок;руб. за квадратный метр
2023-05-01;151419.6096654649;Московская область;Вторичный рынок;руб. за квадратный метр
2023-06-01;151277.0902691285;Московская область;Вторичный рынок;руб. за квадратный метр
2023-07-01;152432.3173391875;Московская область;Вторичный рынок;руб. за квадратный метр
2023-08-01;152257.4124584254;Московская область;Вторичный рынок;руб. за квадратный метр
2023-09-01;154384.8994559524;Московская область;Вторичный рынок;руб. за квадратный метр
2023-10-01;155600.583332811;Московская область;Вторичный рынок;руб. за квадратный метр
2023-11-01;157153.2816427162;Московская область;Вторичный рынок;руб. за квадратный метр
2023-12-01;156983.229506225;Московская область;Вторичный рынок;руб. за квадратный метр
2024-01-01;158707.7927060793;Московская область;Вторичный рынок;руб. за квадратный метр
2024-02-01;158427.7165854506;Московская область;Вторичный рынок;руб. за квадратный метр
2024-03-01;158188.7168232671;Московская область;Вторичный рынок;руб. за квадратный метр
2024-04-01;157461.8008879593;Московская область;Вторичный рынок;руб. за квадратный метр
2024-05-01;157042.0678305442;Московская область;Вторичный рынок;руб. за квадратный метр
2024-06-01;155091.3712604479;Московская область;Вторичный рынок;руб. за квадратный метр
2024-07-01;154097.5102934345;Московская область;Вторичный рынок;руб. за квадратный метр
2024-08-01;154366.6036136171;Московская область;Вторичный рынок;руб. за квадратный метр
2024-09-01;153663.1509035971;Московская область;Вторичный рынок;руб. за квадратный метр
2024-10-01;154527.7803241701;Московская область;Вторичный рынок;руб. за квадратный метр
2024-11-01;154801.7486302438;Московская область;Вторичный рынок;руб. за квадратный метр
2024-12-01;151777.6645480391;Московская область;Вторичный рынок;руб. за квадратный метр
2025-01-01;153519.298919583;Московская область;Вторичный рынок;руб. за квадратный метр
2025-02-01;154598.5335978471;Московская область;Вторичный рынок;руб. за квадратный метр
2025-03-01;156848.6640166487;Московская область;Вторичный рынок;руб. за квадратный метр
2025-04-01;157439.6041227445;Московская область;Вторичный рынок;руб. за квадратный метр
2025-05-01;158888.5582085413;Московская область;Вторичный рынок;руб. за квадратный метр
2025-06-01;157852.5596151669;Московская область;Вторичный рынок;руб. за квадратный метр
2025-07-01;157357.3563925451;Московская область;Вторичный рынок;руб. за квадратный метр
2025-08-01;158704.3115339216;Московская область;Вторичный рынок;руб. за квадратный метр
2025-09-01;159183.7968506149;Московская область;Вторичный рынок;руб. за квадратный метр
2025-10-01;161756.5040370553;Московская область;Вторичный рынок;руб. за квадратный метр
2025-11-01;161255.4180741675;Московская область;Вторичный рынок;руб. за квадратный метр
2025-12-01;158731.757019225;Московская область;Вторичный рынок;руб. за квадратный метр
2026-01-01;159489.4885057471;Московская область;Вторичный рынок;руб. за квадратный метр
2022-01-01;75415.9214326612;Ростовская область;Вторичный рынок;руб. за квадратный метр
2022-02-01;77494.9952471299;Ростовская область;Вторичный рынок;руб. за квадратный метр
2022-03-01;82227.8012343173;Ростовская область;Вторичный рынок;руб. за квадратный метр
2022-04-01;84040.1226589726;Ростовская область;Вторичный рынок;руб. за квадратный метр
2022-05-01;84470.520315584;Ростовская область;Вторичный рынок;руб. за квадратный метр
2022-06-01;84298.4779454197;Ростовская область;Вторичный рынок;руб. за квадратный метр
2022-07-01;84082.6656920971;Ростовская область;Вторичный рынок;руб. за квадратный метр
2022-08-01;84072.3650438762;Ростовская область;Вторичный рынок;руб. за квадратный метр
2022-09-01;84694.476037912;Ростовская область;Вторичный рынок;руб. за квадратный метр
2022-10-01;85348.9552475685;Ростовская область;Вторичный рынок;руб. за квадратный метр
2022-11-01;86173.3430867754;Ростовская область;Вторичный рынок;руб. за квадратный метр
2022-12-01;86931.1862231447;Ростовская область;Вторичный рынок;руб. за квадратный метр
2023-01-01;87333.384417829;Ростовская область;Вторичный рынок;руб. за квадратный метр
2023-02-01;88151.9835389424;Ростовская область;Вторичный рынок;руб. за квадратный метр
2023-03-01;88799.3028400265;Ростовская область;Вторичный рынок;руб. за квадратный метр
2023-04-01;90679.9923447702;Ростовская область;Вторичный рынок;руб. за квадратный метр
2023-05-01;91457.027797611;Ростовская область;Вторичный рынок;руб. за квадратный метр
2023-06-01;93344.6886134433;Ростовская область;Вторичный рынок;руб. за квадратный метр
2023-07-01;94582.7799251188;Ростовская область;Вторичный рынок;руб. за квадратный метр
2023-08-01;96083.635841882;Ростовская область;Вторичный рынок;руб. за квадратный метр
2023-09-01;98592.686371667;Ростовская область;Вторичный рынок;руб. за квадратный метр
2023-10-01;101247.9728577829;Ростовская область;Вторичный рынок;руб. за квадратный метр
2023-11-01;103051.1684025771;Ростовская область;Вторичный рынок;руб. за квадратный метр
2023-12-01;105967.1354405761;Ростовская область;Вторичный рынок;руб. за квадратный метр
2024-01-01;107409.8080705905;Ростовская область;Вторичный рынок;руб. за квадратный метр
2024-02-01;108276.1435506894;Ростовская область;Вторичный рынок;руб. за квадратный метр
2024-03-01;107844.0672893988;Ростовская область;Вторичный рынок;руб. за квадратный метр
2024-04-01;107255.305767727;Ростовская область;Вторичный рынок;руб. за квадратный метр
2024-05-01;109994.6324782912;Ростовская область;Вторичный рынок;руб. за квадратный метр
2024-06-01;111219.7525035649;Ростовская область;Вторичный рынок;руб. за квадратный метр
2024-07-01;115119.3824849469;Ростовская область;Вторичный рынок;руб. за квадратный метр
2024-08-01;113318.391475045;Ростовская область;Вторичный рынок;руб. за квадратный метр
2024-09-01;110657.6748102707;Ростовская область;Вторичный рынок;руб. за квадратный метр
2024-10-01;109444.8996609509;Ростовская область;Вторичный рынок;руб. за квадратный метр
2024-11-01;114907.9811528375;Ростовская область;Вторичный рынок;руб. за квадратный метр
2024-12-01;107353.8889471569;Ростовская область;Вторичный рынок;руб. за квадратный метр
2025-01-01;118708.666100647;Ростовская область;Вторичный рынок;руб. за квадратный метр
2025-02-01;117443.5417639836;Ростовская область;Вторичный рынок;руб. за квадратный метр
2025-03-01;116517.7799372303;Ростовская область;Вторичный рынок;руб. за квадратный метр
2025-04-01;116128.6163206601;Ростовская область;Вторичный рынок;руб. за квадратный метр
2025-05-01;116081.0452713533;Ростовская область;Вторичный рынок;руб. за квадратный метр
2025-06-01;115033.8167703719;Ростовская область;Вторичный рынок;руб. за квадратный метр
2025-07-01;112055.0388663136;Ростовская область;Вторичный рынок;руб. за квадратный метр
2025-08-01;111999.3623810654;Ростовская область;Вторичный рынок;руб. за квадратный метр
2025-09-01;112167.6326363041;Ростовская область;Вторичный рынок;руб. за квадратный метр
2025-10-01;110774.7272200418;Ростовская область;Вторичный рынок;руб. за квадратный метр
2025-11-01;115863.8401382455;Ростовская область;Вторичный рынок;руб. за квадратный метр
2025-12-01;111327.7128384079;Ростовская область;Вторичный рынок;руб. за квадратный метр
2026-01-01;113453.0587386775;Ростовская область;Вторичный рынок;руб. за квадратный метр
2022-01-01;111981.3278008299;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2022-02-01;124497.2067039106;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2022-03-01;122260.1809954751;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2022-04-01;133343.653250774;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2022-05-01;135825.1751830986;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2022-06-01;136084.2247727273;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2022-07-01;134097.5023140496;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2022-08-01;132712.219322542;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2022-09-01;132683.6363636364;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2022-10-01;142176.6268260292;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2022-11-01;144882.0023837902;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2022-12-01;149757.3304201681;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2023-01-01;150148.4468431772;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2023-02-01;148105.5954575164;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2023-03-01;142774.3633928571;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2023-04-01;140045.9901304348;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2023-05-01;138381.3747228381;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2023-06-01;143914.8936170213;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2023-07-01;144884.0022882615;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2023-08-01;141414.8268960674;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2023-09-01;139146.6114285714;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2023-10-01;150905.3554404946;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2023-11-01;150486.4376446281;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2023-12-01;148907.4307304786;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2024-01-01;157398.6083499006;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2024-02-01;156389.1339434724;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
2024-03-01;160061.8002002288;Республика Саха (Якутия);Первичный рынок;руб. за квадратный метр
